trial_id,future_n,future_weight,future_tail_weight,feature_weight,pending_weight,recent_weight,capacity_ratio_weight,recent_select_window,w_in,w_out,avg_completion_heuristic_hours,log_heuristic,avg_completion_optimization_hours,log_optimization,avg_completion_mean_hours
1,4,1.0,0.0,1.0,8.0,4.0,20.0,4,1.0,3.0,6.819772222222222,logs\grid_search_future\trial0001-prop-prop-heu.log,6.287987037037037,logs\grid_search_future\trial0001-prop-prop-opt.log,6.5538796296296296
2,4,1.0,0.0,1.0,8.0,4.0,20.0,4,1.0,5.0,6.884164814814814,logs\grid_search_future\trial0002-prop-prop-heu.log,6.330474074074075,logs\grid_search_future\trial0002-prop-prop-opt.log,6.607319444444444
3,4,1.0,0.0,1.0,8.0,4.0,30.0,4,1.0,3.0,6.837968518518519,logs\grid_search_future\trial0003-prop-prop-heu.log,6.3018425925925925,logs\grid_search_future\trial0003-prop-prop-opt.log,6.569905555555556
4,4,1.0,0.0,1.0,8.0,4.0,30.0,4,1.0,5.0,6.84427037037037,logs\grid_search_future\trial0004-prop-prop-heu.log,6.514494444444444,logs\grid_search_future\trial0004-prop-prop-opt.log,6.679382407407407
5,4,1.0,0.0,1.0,8.0,8.0,20.0,4,1.0,3.0,6.900779629629629,logs\grid_search_future\trial0005-prop-prop-heu.log,6.398088888888889,logs\grid_search_future\trial0005-prop-prop-opt.log,6.649434259259259
6,4,1.0,0.0,1.0,8.0,8.0,20.0,4,1.0,5.0,6.895409259259259,logs\grid_search_future\trial0006-prop-prop-heu.log,6.311885185185186,logs\grid_search_future\trial0006-prop-prop-opt.log,6.6036472222222224
7,4,1.0,0.0,1.0,8.0,8.0,30.0,4,1.0,3.0,6.8715518518518515,logs\grid_search_future\trial0007-prop-prop-heu.log,6.374653703703704,logs\grid_search_future\trial0007-prop-prop-opt.log,6.623102777777778
8,4,1.0,0.0,1.0,8.0,8.0,30.0,4,1.0,5.0,6.786359259259259,logs\grid_search_future\trial0008-prop-prop-heu.log,6.37507037037037,logs\grid_search_future\trial0008-prop-prop-opt.log,6.580714814814815
9,4,1.0,0.0,1.0,12.0,4.0,20.0,4,1.0,3.0,6.835237037037037,logs\grid_search_future\trial0009-prop-prop-heu.log,6.301101851851852,logs\grid_search_future\trial0009-prop-prop-opt.log,6.568169444444445
10,4,1.0,0.0,1.0,12.0,4.0,20.0,4,1.0,5.0,6.866605555555555,logs\grid_search_future\trial0010-prop-prop-heu.log,6.316062962962962,logs\grid_search_future\trial0010-prop-prop-opt.log,6.591334259259259
11,4,1.0,0.0,1.0,12.0,4.0,30.0,4,1.0,3.0,6.812959259259259,logs\grid_search_future\trial0011-prop-prop-heu.log,6.39705925925926,logs\grid_search_future\trial0011-prop-prop-opt.log,6.605009259259259
12,4,1.0,0.0,1.0,12.0,4.0,30.0,4,1.0,5.0,6.837577777777779,logs\grid_search_future\trial0012-prop-prop-heu.log,6.3508203703703705,logs\grid_search_future\trial0012-prop-prop-opt.log,6.594199074074075
13,4,1.0,0.0,1.0,12.0,8.0,20.0,4,1.0,3.0,6.917792592592592,logs\grid_search_future\trial0013-prop-prop-heu.log,6.2644166666666665,logs\grid_search_future\trial0013-prop-prop-opt.log,6.59110462962963
14,4,1.0,0.0,1.0,12.0,8.0,20.0,4,1.0,5.0,6.807207407407407,logs\grid_search_future\trial0014-prop-prop-heu.log,6.253775925925925,logs\grid_search_future\trial0014-prop-prop-opt.log,6.530491666666666
15,4,1.0,0.0,1.0,12.0,8.0,30.0,4,1.0,3.0,6.850118518518518,logs\grid_search_future\trial0015-prop-prop-heu.log,6.391222222222223,logs\grid_search_future\trial0015-prop-prop-opt.log,6.62067037037037
16,4,1.0,0.0,1.0,12.0,8.0,30.0,4,1.0,5.0,6.863048148148148,logs\grid_search_future\trial0016-prop-prop-heu.log,6.335412962962963,logs\grid_search_future\trial0016-prop-prop-opt.log,6.599230555555556
17,4,4.0,0.0,1.0,8.0,4.0,20.0,4,1.0,3.0,6.736535185185185,logs\grid_search_future\trial0017-prop-prop-heu.log,6.320564814814815,logs\grid_search_future\trial0017-prop-prop-opt.log,6.52855
18,4,4.0,0.0,1.0,8.0,4.0,20.0,4,1.0,5.0,6.692144444444444,logs\grid_search_future\trial0018-prop-prop-heu.log,6.4500574074074075,logs\grid_search_future\trial0018-prop-prop-opt.log,6.571100925925926
19,4,4.0,0.0,1.0,8.0,4.0,30.0,4,1.0,3.0,6.647098148148149,logs\grid_search_future\trial0019-prop-prop-heu.log,6.300611111111111,logs\grid_search_future\trial0019-prop-prop-opt.log,6.4738546296296295
20,4,4.0,0.0,1.0,8.0,4.0,30.0,4,1.0,5.0,6.677964814814815,logs\grid_search_future\trial0020-prop-prop-heu.log,6.3324444444444445,logs\grid_search_future\trial0020-prop-prop-opt.log,6.505204629629629
21,4,4.0,0.0,1.0,8.0,8.0,20.0,4,1.0,3.0,6.791148148148149,logs\grid_search_future\trial0021-prop-prop-heu.log,5.764075925925926,logs\grid_search_future\trial0021-prop-prop-opt.log,6.277612037037038
22,4,4.0,0.0,1.0,8.0,8.0,20.0,4,1.0,5.0,6.7869111111111105,logs\grid_search_future\trial0022-prop-prop-heu.log,6.3015944444444445,logs\grid_search_future\trial0022-prop-prop-opt.log,6.5442527777777775
23,4,4.0,0.0,1.0,8.0,8.0,30.0,4,1.0,3.0,6.830987037037037,logs\grid_search_future\trial0023-prop-prop-heu.log,6.485901851851851,logs\grid_search_future\trial0023-prop-prop-opt.log,6.658444444444444
24,4,4.0,0.0,1.0,8.0,8.0,30.0,4,1.0,5.0,6.704159259259259,logs\grid_search_future\trial0024-prop-prop-heu.log,6.463392592592593,logs\grid_search_future\trial0024-prop-prop-opt.log,6.583775925925925
25,4,4.0,0.0,1.0,12.0,4.0,20.0,4,1.0,3.0,6.632220370370371,logs\grid_search_future\trial0025-prop-prop-heu.log,6.316085185185186,logs\grid_search_future\trial0025-prop-prop-opt.log,6.474152777777778
26,4,4.0,0.0,1.0,12.0,4.0,20.0,4,1.0,5.0,6.758437037037037,logs\grid_search_future\trial0026-prop-prop-heu.log,6.1424870370370375,logs\grid_search_future\trial0026-prop-prop-opt.log,6.450462037037037
27,4,4.0,0.0,1.0,12.0,4.0,30.0,4,1.0,3.0,6.714311111111112,logs\grid_search_future\trial0027-prop-prop-heu.log,6.394248148148148,logs\grid_search_future\trial0027-prop-prop-opt.log,6.5542796296296295
28,4,4.0,0.0,1.0,12.0,4.0,30.0,4,1.0,5.0,6.74355,logs\grid_search_future\trial0028-prop-prop-heu.log,6.217442592592593,logs\grid_search_future\trial0028-prop-prop-opt.log,6.480496296296296
29,4,4.0,0.0,1.0,12.0,8.0,20.0,4,1.0,3.0,6.813053703703703,logs\grid_search_future\trial0029-prop-prop-heu.log,6.277677777777778,logs\grid_search_future\trial0029-prop-prop-opt.log,6.54536574074074
30,4,4.0,0.0,1.0,12.0,8.0,20.0,4,1.0,5.0,6.82815,logs\grid_search_future\trial0030-prop-prop-heu.log,6.207459259259259,logs\grid_search_future\trial0030-prop-prop-opt.log,6.517804629629629
31,4,4.0,0.0,1.0,12.0,8.0,30.0,4,1.0,3.0,6.746264814814814,logs\grid_search_future\trial0031-prop-prop-heu.log,6.28507962962963,logs\grid_search_future\trial0031-prop-prop-opt.log,6.515672222222221
32,4,4.0,0.0,1.0,12.0,8.0,30.0,4,1.0,5.0,6.810079629629629,logs\grid_search_future\trial0032-prop-prop-heu.log,6.177301851851852,logs\grid_search_future\trial0032-prop-prop-opt.log,6.493690740740741
